"開票区","名前","得票数","開票区総数","開票区得票率","平均年収"
"国分寺市","ホカリジン",6,68921.999,8.70549329249722e-05,4604825.70129889
"国分寺市","小林弘",61,68921.999,0.000885058484737217,4604825.70129889
"国分寺市","加藤健一郎",1,68921.999,1.45091554874954e-05,4604825.70129889
"国分寺市","ひまそらあかね",1046,68921.999,0.0151765766399202,4604825.70129889
"国分寺市","向後真徳",22,68921.999,0.000319201420724898,4604825.70129889
"国分寺市","うしくぼのぶお",9,68921.999,0.000130582399387458,4604825.70129889
"国分寺市","古田真",1,68921.999,1.45091554874954e-05,4604825.70129889
"国分寺市","アキノリ将軍未満",5,68921.999,7.25457774374768e-05,4604825.70129889
"国立市","野間口翔",11,40353.999,0.00027258760649719,4668971.51674593
"国立市","さわしげみ",7,40353.999,0.000173464840498212,4668971.51674593
"国立市","大和行男",59,40353.999,0.00146206079848493,4668971.51674593
"国立市","木宮みつき",41,40353.999,0.00101600835148953,4668971.51674593
"国立市","小池ゆりこ",16649,40353.999,0.412573732779247,4668971.51674593
"国立市","うつみさとる",786,40353.999,0.0194776235187992,4668971.51674593
"国立市","石丸伸二",9439.639,40353.999,0.233920781927957,4668971.51674593
"国立市","小野寺こうき",3,40353.999,7.43420744992336e-05,4668971.51674593
"国立市","しんどう伸夫",6,40353.999,0.000148684148998467,4668971.51674593
"国立市","竹本秀之",5,40353.999,0.000123903457498723,4668971.51674593
"国立市","桜井誠",356,40353.999,0.00882192617390906,4668971.51674593
"国立市","ドクター・中松",161,40353.999,0.00398969133145887,4668971.51674593
"国立市","安野たかひろ",802,40353.999,0.0198741145827951,4668971.51674593
"国立市","清水国明",243,40353.999,0.00602170803443793,4668971.51674593
"国立市","ＡＩメイヤー",17,40353.999,0.000421271755495657,4668971.51674593
"国立市","桑原まりこ",6,40353.999,0.000148684148998467,4668971.51674593
"国立市","ゴトウテルキ",43,40353.999,0.00106556973448902,4668971.51674593
"国立市","河合ゆうすけ",10,40353.999,0.000247806914997445,4668971.51674593
"国立市","福本繁幸",27,40353.999,0.000669078670493103,4668971.51674593
"国立市","黒川あつひこ",13,40353.999,0.000322148989496679,4668971.51674593
"国立市","桑島康文",2,40353.999,4.95613829994891e-05,4668971.51674593
"国立市","田母神としお",1470,40353.999,0.0364276165046245,4668971.51674593
"国立市","蓮舫",9177,40353.999,0.227412405893156,4668971.51674593
"国立市","ないとうひさお",15,40353.999,0.000371710372496168,4668971.51674593
"国立市","内野愛里",10,40353.999,0.000247806914997445,4668971.51674593
"国立市","石丸幸人",217.36,40353.999,0.00538633110438448,4668971.51674593
"国立市","尾関あゆみ",4,40353.999,9.91227659989782e-05,4668971.51674593
"国立市","小松けん",17,40353.999,0.000421271755495657,4668971.51674593
"国立市","かがたたくじ",5,40353.999,0.000123903457498723,4668971.51674593
"国立市","福永かつや",9,40353.999,0.000223026223497701,4668971.51674593
"国立市","犬伏宏明",1,40353.999,2.47806914997445e-05,4668971.51674593
"国立市","武内隆",3,40353.999,7.43420744992336e-05,4668971.51674593
"国立市","遠藤信一",12,40353.999,0.000297368297996935,4668971.51674593
"国立市","上楽むねゆき",3,40353.999,7.43420744992336e-05,4668971.51674593
"国立市","二宮大造",2,40353.999,4.95613829994891e-05,4668971.51674593
"国立市","中江ともや",2,40353.999,4.95613829994891e-05,4668971.51674593
"国立市","ふなはしゆめと",8,40353.999,0.000198245531997956,4668971.51674593
"国立市","山田信一",2,40353.999,4.95613829994891e-05,4668971.51674593
"国立市","加藤英明",1,40353.999,2.47806914997445e-05,4668971.51674593
"国立市","草尾あつし",1,40353.999,2.47806914997445e-05,4668971.51674593
"国立市","津村大作",6,40353.999,0.000148684148998467,4668971.51674593
"国立市","横山緑",13,40353.999,0.000322148989496679,4668971.51674593
"国立市","前田太一",2,40353.999,4.95613829994891e-05,4668971.51674593
"国立市","みなみ俊輔",2,40353.999,4.95613829994891e-05,4668971.51674593
"国立市","ふくはらしるび",1,40353.999,2.47806914997445e-05,4668971.51674593
"国立市","木村よしたか",5,40353.999,0.000123903457498723,4668971.51674593
"国立市","三輪陽一",1,40353.999,2.47806914997445e-05,4668971.51674593
"国立市","松尾芳治",6,40353.999,0.000148684148998467,4668971.51674593
"国立市","ホカリジン",8,40353.999,0.000198245531997956,4668971.51674593
"国立市","小林弘",45,40353.999,0.0011151311174885,4668971.51674593
"国立市","加藤健一郎",5,40353.999,0.000123903457498723,4668971.51674593
"国立市","ひまそらあかね",573,40353.999,0.0141993362293536,4668971.51674593
"国立市","向後真徳",19,40353.999,0.000470833138495146,4668971.51674593
"国立市","うしくぼのぶお",4,40353.999,9.91227659989782e-05,4668971.51674593
"国立市","古田真",7,40353.999,0.000173464840498212,4668971.51674593
